RPM Function ID and Name,RPM Activity ID and Name,Capability ID,"(I)input
(P)process
(O)output",Business Capability Statement,Authoritative Reference,Other Source
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.112,O,"Publish public notification of surplus real property assets (e.g., Federal register)","41 CFR 102-75.15, 102-75.255, 102-76.935, 102-75.755, 830",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.121,I,Capture request for surplus real property asset,"41 CFR 102-75.325 -- 345, 102-75.780, 102-75.935, 795, 860",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.122,P,"Evaluate request for surplus real property asset
","41 CFR 102-75.325 -- 345, 102-75.780, 102-75.935 ,795",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.123,O,Provide evaluation results for request for surplus real property asset,"41 CFR 102-75.325 -- 345, 102-75.780, 102-75.935, 795",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.131,P,Approve/disapprove request for surplus real property asset,"41 CFR 102-75.325 -- 345, 102-75.880 -- 885, 102-76.935",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.132,O,Provide approval/disapproval information concerning request for surplus real property asset,"41 CFR 102-75.325 -- 345, 102-76.935",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.141,P,"Develop and document surplus real property asset sales agreement, route for review and approval and record results","41 CFR 102-75.325 -- 345, 102-76.935, 865",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.142,O,"Provide real property asset sales agreement, including line of accounting information using standard accounting code structure","41 CFR 102-75.325 -- 345, 102-76.935, 865",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.151,P,"Develop and document real property asset transfer agreement for conveyance to state/local governments, non-profit organizations, or other appropriate non-Federal entities, route for feedback and approval, and record results","41 CFR 102-75.325 -- 345, 102-76.880 -- 935, 865",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.152,O,"Provide property real property asset transfer agreements for conveyance to state/local governments, non-profit organizations, or other appropriate non-Federal entities, route for feedback and approval, and record results","41 CFR 102-75.325 -- 345, 102-76.935, 865",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.161,P,"Develop notification of violation of agreement for use of real property asset sold or transferred for public conveyance, request corrective action plan and document results","41 CFR 102-75.800 -- 815, 870",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.162,O,Provide notification of violation of agreement for use of real property asset sold or transferred for public conveyance and request for corrective action plan,"41 CFR 102-75.810, 870",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.171,I,Capture corrective action plan or updates to corrective action plan for remedying violation of agreement for use of real property asset sold or transferred for public conveyance,"41 CFR 102-75.810, 870",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.172,P,"Evaluate corrective action plan or updates to corrective action plan for remedying violation of agreement for use of real property asset sold or transferred for public conveyance and record results
","41 CFR 102-75.810, 870",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.173,O,Provide evaluation results for corrective action plan or updates to corrective action plan for remedying violation of agreement for use of real property asset sold or transferred for public conveyance,"41 CFR 102-75.810, 870",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.181,P,Develop and document feedback on corrective action plan or updates to corrective action plan for remedying violation of agreement for use of real property asset sold or transferred for public conveyance,"41 CFR 102-75.810, 870",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.182,O,Provide feedback on corrective action plan or updates to corrective action plan for remedying violation of agreement for use of real property asset sold or transferred for public conveyance,"41 CFR 102-75.810, 870",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.191,I,Capture status information concerning corrective action plan for remedying violation of agreement for use of real property asset sold or transferred for public conveyance,"41 CFR 102-75.810, 870",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.192,P,Evaluate status information concerning corrective action plan for remedying violation of agreement for use of real property asset sold or transferred for public conveyance and record results,"41 CFR 102-75.810, 870",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.193,O,Provide evaluation results for status information concerning corrective action plan for remedying violation of agreement for use of real property asset sold or transferred for public conveyance,"41 CFR 102-75.810, 870",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.201,P,Develop and document notification of reversion of title,"41 CFR 102-75.875, 545, 620",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.202,O,Provide notification of reversion of title,"41 CFR 102-75.875, 545, 620",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.211,P,Evaluate real property asset reversion execution progress and record results,"41 CFR 102-75.875, 545, 620",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.212,O,Provide real property asset reversion execution progress ,"41 CFR 102-75.875, 545, 620",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.221,P,Determine whether real property asset is repairable and document results,"41 CFR 102-71.20, 102-75.1000 -- 1045",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.222,O,Provide information about repairability of real property asset,"41 CFR 102-71.20, 102-75.1000 -- 1045",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.231,P,"Determine and document whether non-repairable real property asset should be demolished or abandoned in place, route for review and approval, and record results","41 CFR 102-71.20, 102-75.1000 -- 1045;
42 U.S.C. 4321 National Environmental Policy Act",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.232,O,"Provide information about whether non-repairable real property asset should be demolished or abandoned in place, route for review and approval, and record results","41 CFR 102-71.20, 102-75.1000 -- 1045
42 U.S.C. 4321 National Environmental Policy Act",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.241,P,"Develop and document real property asset demolition or repair contract or contract modification information, route for review and approval, and record results","41 CFR 102-71.20, 102-75.1000 -- 1045;
42 U.S.C. 4321 National Environmental Policy Act",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.242,O,Provide real property asset demolition or repair contract or contract modification information and approval information,"41 CFR 102-71.20, 102-75.1000 -- 1045;
42 U.S.C. 4321 National Environmental Policy Act",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.251,I,Capture real property asset demolition or repair execution progress information,"41 CFR 102-71.20, 102-75.1000 -- 1045;",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.252,P,"Evaluate real property asset demolition or repair execution progress information, determine status information, and record results","41 CFR 102-71.20, 102-75.1000 -- 1045;",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.253,O,"Provide evaluation results for real property asset demolition or repair execution progress information, including issues and concerns","41 CFR 102-71.20, 102-75.1000 -- 1045;",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.261,P,"Develop notification of real property asset demolition or repair issues and concerns, request corrective action plan, and document results","41 CFR 102-71.20, 102-75.1000 -- 1045;",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.262,O,"Provide notification of real property asset demolition or repair execution issues and concerns, and request for corrective action plan","41 CFR 102-71.20, 102-75.1000 -- 1045;",
RPM.060 Real Property Asset Reuse/Disposal,RPM.060.040 Real Property Asset Disposal Management,RPM.060.040.271,I,Capture corrective action plan or updates to corrective action plan for remedying real property asset demolition or repair execution issues and concerns,"41 CFR 102-71.20, 102-75.1000 -- 1045;",
